original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1.0,1.0,0.0,1,False,0,100,shap,2.791102170944214,68,75,69,74,70,73,72,76,3,2,1
1.0,1.0,0.0,1,False,1,100,shap,0.22839117050170898,68,75,69,74,70,73,72,76,3,2,1
1.0,1.0,0.0,1,False,2,100,shap,0.19563889503479004,68,75,69,74,70,73,72,76,3,2,1
1.0,0.99999964,3.5762787e-07,1,False,3,100,shap,0.18010711669921875,68,75,69,74,70,73,72,76,3,2,1
1.0,0.9999716,2.8371811e-05,1,False,4,100,shap,0.1708521842956543,68,75,69,74,70,73,72,76,3,2,1
1.0,0.9985428,0.0014572144,1,False,5,100,shap,0.18199944496154785,68,75,69,74,70,73,72,76,3,2,1
1.0,0.94863623,0.051363766,1,False,6,100,shap,0.19251680374145508,68,75,69,74,70,73,72,76,3,2,1
1.0,0.77638054,0.22361946,1,False,7,100,shap,0.1964709758758545,68,75,69,74,70,73,72,76,3,2,1
1.0,0.622339,0.377661,1,False,8,100,shap,0.18029189109802246,68,75,69,74,70,73,72,76,3,2,1
1.0,0.6078039,0.39219612,1,False,9,100,shap,0.17292022705078125,68,75,69,74,70,73,72,76,3,2,1
1.0,0.42696837,0.57303166,1,True,10,100,shap,0.17058181762695312,68,75,69,74,70,73,72,76,3,2,1
1.0,1.0,0.0,1,False,0,100,shap,2.6732449531555176,71,75,69,73,70,72,74,76,40,29,14
1.0,1.0,0.0,1,False,1,100,shap,0.3172333240509033,71,75,69,73,70,72,74,76,40,29,14
1.0,0.9999999,1.1920929e-07,1,False,2,100,shap,0.1724097728729248,71,75,69,73,70,72,74,76,40,29,14
1.0,0.99999917,8.34465e-07,1,False,3,100,shap,0.17496371269226074,71,75,69,73,70,72,74,76,40,29,14
1.0,0.99990094,9.906292e-05,1,False,4,100,shap,0.19148802757263184,71,75,69,73,70,72,74,76,40,29,14
1.0,0.9934329,0.0065671206,1,False,5,100,shap,0.19356131553649902,71,75,69,73,70,72,74,76,40,29,14
1.0,0.8448085,0.15519148,1,False,6,100,shap,0.17730021476745605,71,75,69,73,70,72,74,76,40,29,14
1.0,0.740488,0.259512,1,False,7,100,shap,0.17947030067443848,71,75,69,73,70,72,74,76,40,29,14
1.0,0.6534649,0.3465351,1,False,8,100,shap,0.1715250015258789,71,75,69,73,70,72,74,76,40,29,14
1.0,0.65159684,0.34840316,1,False,9,100,shap,0.18605375289916992,71,75,69,73,70,72,74,76,40,29,14
1.0,0.6534915,0.3465085,1,False,10,100,shap,0.18463587760925293,71,75,69,73,70,72,74,76,40,29,14
0.99999976,0.99999976,0.0,1,False,0,100,shap,2.643181800842285,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.99997926,2.0503998e-05,1,False,1,100,shap,0.20642828941345215,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.99992037,7.939339e-05,1,False,2,100,shap,0.1840524673461914,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.995551,0.0044487715,1,False,3,100,shap,0.18149948120117188,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.97204036,0.027959406,1,False,4,100,shap,0.17254924774169922,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.9467197,0.053280056,1,False,5,100,shap,0.170943021774292,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.9551791,0.044820666,1,False,6,100,shap,0.18699002265930176,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.7980309,0.20196885,1,False,7,100,shap,0.20744585990905762,73,75,74,72,70,16,76,39,69,56,36
0.99999976,0.796525,0.20347476,1,False,8,100,shap,0.191209077835083,73,75,74,72,70,16,76,39,69,56,36
