original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.7966441,0.7966441,0.0,1,False,0,100,shap,2.7496442794799805,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.6957729,0.100871205,1,False,1,100,shap,0.21261310577392578,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.67785347,0.11879063,1,False,2,100,shap,0.1843736171722412,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.665999,0.1306451,1,False,3,100,shap,0.18410110473632812,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.65043294,0.14621115,1,False,4,100,shap,0.18181753158569336,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.6433741,0.15327,1,False,5,100,shap,0.17570829391479492,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.63455236,0.16209173,1,False,6,100,shap,0.17553210258483887,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.634457,0.1621871,1,False,7,100,shap,0.17839598655700684,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.6313685,0.16527557,1,False,8,100,shap,0.17774081230163574,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.626806,0.16983807,1,False,9,100,shap,0.17635226249694824,2,4,47,1,26,31,49,22,27,33,60
0.7966441,0.6221096,0.1745345,1,False,10,100,shap,0.17709875106811523,2,4,47,1,26,31,49,22,27,33,60
0.6737212,0.6737212,0.0,1,False,0,100,shap,2.5839641094207764,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.6420908,0.031630397,1,False,1,100,shap,0.18955039978027344,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.6380006,0.035720587,1,False,2,100,shap,0.1842050552368164,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.63517296,0.03854823,1,False,3,100,shap,0.1760711669921875,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.6055003,0.06822091,1,False,4,100,shap,0.17143559455871582,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.5837637,0.089957476,1,False,5,100,shap,0.17654013633728027,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.5836169,0.09010428,1,False,6,100,shap,0.17329883575439453,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.5876908,0.08603042,1,False,7,100,shap,0.17424297332763672,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.58141357,0.09230763,1,False,8,100,shap,0.17755889892578125,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.57940936,0.09431183,1,False,9,100,shap,0.17457890510559082,4,24,40,2,11,9,13,25,52,7,59
0.6737212,0.5756855,0.09803569,1,False,10,100,shap,0.17830371856689453,4,24,40,2,11,9,13,25,52,7,59
0.7489381,0.7489381,0.0,1,False,0,100,shap,2.5417892932891846,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.7213425,0.02759558,1,False,1,100,shap,0.2136392593383789,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.7090318,0.039906263,1,False,2,100,shap,0.18421173095703125,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.6823528,0.0665853,1,False,3,100,shap,0.18099021911621094,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.6802739,0.06866419,1,False,4,100,shap,0.17253947257995605,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.6586129,0.09032518,1,False,5,100,shap,0.29758429527282715,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.65432006,0.09461802,1,False,6,100,shap,0.16956710815429688,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.6467605,0.10217756,1,False,7,100,shap,0.17798519134521484,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.6464193,0.1025188,1,False,8,100,shap,0.17648983001708984,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.646007,0.10293108,1,False,9,100,shap,0.17986154556274414,16,28,48,37,9,62,33,59,49,22,66
0.7489381,0.64261013,0.10632795,1,False,10,100,shap,0.17023921012878418,16,28,48,37,9,62,33,59,49,22,66
0.73565817,0.73565817,0.0,1,False,0,100,shap,2.600264549255371,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.6808643,0.054793894,1,False,1,100,shap,0.19448184967041016,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.67374665,0.061911523,1,False,2,100,shap,0.18626785278320312,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.64168596,0.093972206,1,False,3,100,shap,0.17517924308776855,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.6119112,0.12374699,1,False,4,100,shap,0.17897248268127441,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.6092556,0.12640256,1,False,5,100,shap,0.1725153923034668,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.6078166,0.12784159,1,False,6,100,shap,0.17281174659729004,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.6025627,0.13309544,1,False,7,100,shap,0.17275404930114746,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.6018516,0.13380659,1,False,8,100,shap,0.17026734352111816,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.5978386,0.13781959,1,False,9,100,shap,0.17744708061218262,11,32,48,67,37,41,29,43,34,51,2
0.73565817,0.59886026,0.1367979,1,False,10,100,shap,0.17101144790649414,11,32,48,67,37,41,29,43,34,51,2
0.91206825,0.91206825,0.0,1,False,0,100,shap,2.5399208068847656,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.9105481,0.0015201569,1,False,1,100,shap,0.20006322860717773,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.9114661,0.0006021261,1,False,2,100,shap,0.18494057655334473,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.9060874,0.0059808493,1,False,3,100,shap,0.18321728706359863,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.89827025,0.013797998,1,False,4,100,shap,0.1765289306640625,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.8928807,0.01918757,1,False,5,100,shap,0.17353582382202148,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.88799125,0.024076998,1,False,6,100,shap,0.1719064712524414,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.87960464,0.03246361,1,False,7,100,shap,0.18436837196350098,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.8664078,0.045660436,1,False,8,100,shap,0.16762971878051758,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.86499184,0.047076404,1,False,9,100,shap,0.17524003982543945,16,1,67,22,4,28,30,27,47,33,46
0.91206825,0.8574119,0.054656327,1,False,10,100,shap,0.18074917793273926,16,1,67,22,4,28,30,27,47,33,46
0.906606,0.906606,0.0,1,False,0,100,shap,2.5504307746887207,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8847016,0.021904409,1,False,1,100,shap,0.19904088973999023,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.88154966,0.025056362,1,False,2,100,shap,0.18286681175231934,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8805025,0.026103497,1,False,3,100,shap,0.31606531143188477,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8713146,0.035291433,1,False,4,100,shap,0.16791844367980957,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8690406,0.03756541,1,False,5,100,shap,0.17183327674865723,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8632296,0.043376446,1,False,6,100,shap,0.17766046524047852,18,10,5,1,62,11,32,25,67,53,68
0.906606,0.8599313,0.04667473,1,False,7,100,shap,0.16933465003967285,18,10,5,1,62,11,32,25,67,53,68
