original_class,original_probability,new_probability,confidence_diff,class_change,new_class,explainer,strategy,sigma,time,num_features
Egyptian_cat,0.97678727,0.9831496,-0.006362319,False,Egyptian_cat,grad,top,1,0.32114720344543457,1
Egyptian_cat,0.97678727,0.0005863342,0.97620094,True,window_screen,grad,rest,1,0.3080627918243408,1
Egyptian_cat,0.97678727,0.9429445,0.033842742,False,Egyptian_cat,grad,top,1,0.3466029167175293,2
Egyptian_cat,0.97678727,0.00011799316,0.97666925,True,jigsaw_puzzle,grad,rest,1,0.24734187126159668,2
Egyptian_cat,0.97678727,0.8523746,0.124412656,False,Egyptian_cat,grad,top,1,0.24134039878845215,3
Egyptian_cat,0.97678727,0.00012486118,0.9766624,True,jigsaw_puzzle,grad,rest,1,0.23836827278137207,3
Egyptian_cat,0.97678727,0.56996894,0.40681833,False,Egyptian_cat,grad,top,1,0.22237563133239746,4
Egyptian_cat,0.97678727,0.00435882,0.97242844,True,jigsaw_puzzle,grad,rest,1,0.24731922149658203,4
Egyptian_cat,0.97678727,0.48442155,0.49236572,False,Egyptian_cat,grad,top,1,0.2453019618988037,5
Egyptian_cat,0.97678727,0.013174533,0.96361274,True,jigsaw_puzzle,grad,rest,1,0.32785725593566895,5
Egyptian_cat,0.97678727,0.28566873,0.69111854,True,Christmas_stocking,grad,top,1,0.2742733955383301,6
Egyptian_cat,0.97678727,0.019565606,0.9572217,True,jigsaw_puzzle,grad,rest,1,0.2523224353790283,6
Egyptian_cat,0.97678727,0.06415983,0.91262746,True,Christmas_stocking,grad,top,1,0.22384071350097656,7
Egyptian_cat,0.97678727,0.050479654,0.9263076,True,jigsaw_puzzle,grad,rest,1,0.24637079238891602,7
Egyptian_cat,0.97678727,0.024165532,0.95262176,True,Christmas_stocking,grad,top,1,0.21417927742004395,8
Egyptian_cat,0.97678727,0.038944494,0.9378428,True,jigsaw_puzzle,grad,rest,1,0.2533226013183594,8
Egyptian_cat,0.97678727,0.03353655,0.9432507,True,Christmas_stocking,grad,top,1,0.20544934272766113,9
