original_class,original_probability,new_probability,confidence_diff,class_change,new_class,explainer,strategy,sigma,time,num_features
Egyptian_cat,0.97678727,0.9641734,0.012613893,False,Egyptian_cat,lime,top,1,20.35550093650818,1
Egyptian_cat,0.97678727,1.2440275e-06,0.976786,True,mailbox,lime,rest,1,0.2942020893096924,1
Egyptian_cat,0.97678727,0.94304764,0.033739626,False,Egyptian_cat,lime,top,1,0.29318714141845703,2
Egyptian_cat,0.97678727,1.65998e-06,0.9767856,True,mailbox,lime,rest,1,0.3226492404937744,2
Egyptian_cat,0.97678727,0.92101556,0.05577171,False,Egyptian_cat,lime,top,1,0.3092050552368164,3
Egyptian_cat,0.97678727,1.5797249e-06,0.97678566,True,mailbox,lime,rest,1,0.33214521408081055,3
Egyptian_cat,0.97678727,0.8919031,0.08488417,False,Egyptian_cat,lime,top,1,0.32351016998291016,4
Egyptian_cat,0.97678727,4.8756424e-06,0.9767824,True,mailbox,lime,rest,1,0.3351008892059326,4
Egyptian_cat,0.97678727,0.896629,0.08015829,False,Egyptian_cat,lime,top,1,0.3151998519897461,5
Egyptian_cat,0.97678727,9.789905e-06,0.9767775,True,mailbox,lime,rest,1,0.33747005462646484,5
Egyptian_cat,0.97678727,0.8034825,0.1733048,False,Egyptian_cat,lime,top,1,0.3141605854034424,6
Egyptian_cat,0.97678727,1.7448987e-05,0.9767698,True,birdhouse,lime,rest,1,0.3266260623931885,6
Egyptian_cat,0.97678727,0.76765406,0.20913321,False,Egyptian_cat,lime,top,1,0.3128352165222168,7
Egyptian_cat,0.97678727,3.0169524e-05,0.9767571,True,birdhouse,lime,rest,1,0.33413243293762207,7
Egyptian_cat,0.97678727,0.8375696,0.13921767,False,Egyptian_cat,lime,top,1,0.3121364116668701,8
Egyptian_cat,0.97678727,1.8180368e-05,0.9767691,True,lampshade,lime,rest,1,0.3052034378051758,8
Egyptian_cat,0.97678727,0.803762,0.17302525,False,Egyptian_cat,lime,top,1,0.2652885913848877,9
Egyptian_cat,0.97678727,2.9721587e-05,0.9767575,True,theater_curtain,lime,rest,1,0.26730942726135254,9
Egyptian_cat,0.97678727,0.79635805,0.18042922,False,Egyptian_cat,lime,top,1,0.24634385108947754,10
Egyptian_cat,0.97678727,0.00013016662,0.9766571,True,theater_curtain,lime,rest,1,0.24631071090698242,10
Egyptian_cat,0.97678727,0.81310976,0.16367751,False,Egyptian_cat,lime,top,1,0.24138951301574707,11
Egyptian_cat,0.97678727,0.00020560804,0.97658163,True,theater_curtain,lime,rest,1,0.24434590339660645,11
Egyptian_cat,0.97678727,0.75440365,0.22238362,False,Egyptian_cat,lime,top,1,0.23639678955078125,12
Egyptian_cat,0.97678727,0.00019834249,0.9765889,True,birdhouse,lime,rest,1,0.24337482452392578,12
Egyptian_cat,0.97678727,0.8053034,0.17148387,False,Egyptian_cat,lime,top,1,0.25028371810913086,13
Egyptian_cat,0.97678727,8.574791e-05,0.9767015,True,kimono,lime,rest,1,0.27526259422302246,13
Egyptian_cat,0.97678727,0.68376464,0.29302263,False,Egyptian_cat,lime,top,1,0.29421162605285645,14
Egyptian_cat,0.97678727,9.264091e-05,0.97669464,True,kimono,lime,rest,1,0.30817294120788574,14
Egyptian_cat,0.97678727,0.56882656,0.4079607,False,Egyptian_cat,lime,top,1,0.34706854820251465,15
Egyptian_cat,0.97678727,0.020147316,0.95663995,True,apron,lime,rest,1,0.35605788230895996,15
Egyptian_cat,0.97678727,0.38422498,0.5925623,False,Egyptian_cat,lime,top,1,0.31418848037719727,16
Egyptian_cat,0.97678727,0.010130622,0.9666566,True,apron,lime,rest,1,0.28328418731689453,16
Egyptian_cat,0.97678727,0.49146324,0.48532403,False,Egyptian_cat,lime,top,1,0.26030421257019043,17
Egyptian_cat,0.97678727,0.045654275,0.931133,True,apron,lime,rest,1,0.25631093978881836,17
Egyptian_cat,0.97678727,0.3133283,0.66345894,False,Egyptian_cat,lime,top,1,0.2521939277648926,18
Egyptian_cat,0.97678727,0.024029281,0.952758,True,apron,lime,rest,1,0.2562744617462158,18
