original_class,original_probability,new_probability,confidence_diff,class_change,new_class,explainer,strategy,sigma,time,num_features
Egyptian_cat,0.97678727,0.98432225,-0.007534981,False,Egyptian_cat,random,top,1,0.26329612731933594,1
Egyptian_cat,0.97678727,0.0003681498,0.9764191,True,jigsaw_puzzle,random,rest,1,0.25090885162353516,1
Egyptian_cat,0.97678727,0.97482747,0.0019598007,False,Egyptian_cat,random,top,1,0.23058843612670898,2
Egyptian_cat,0.97678727,1.387505e-05,0.9767734,True,birdhouse,random,rest,1,0.272308349609375,2
Egyptian_cat,0.97678727,0.982358,-0.0055707097,False,Egyptian_cat,random,top,1,0.1748974323272705,3
Egyptian_cat,0.97678727,6.7791893e-06,0.9767805,True,birdhouse,random,rest,1,0.2772688865661621,3
Egyptian_cat,0.97678727,0.9745103,0.002276957,False,Egyptian_cat,random,top,1,0.24434804916381836,4
Egyptian_cat,0.97678727,6.0351545e-06,0.97678125,True,birdhouse,random,rest,1,0.25042200088500977,4
Egyptian_cat,0.97678727,0.9679357,0.008851588,False,Egyptian_cat,random,top,1,0.2763967514038086,5
Egyptian_cat,0.97678727,6.324531e-06,0.97678095,True,birdhouse,random,rest,1,0.3086552619934082,5
Egyptian_cat,0.97678727,0.90146375,0.07532352,False,Egyptian_cat,random,top,1,0.28722476959228516,6
Egyptian_cat,0.97678727,2.0645448e-05,0.97676665,True,birdhouse,random,rest,1,0.26170921325683594,6
Egyptian_cat,0.97678727,0.7866643,0.19012296,False,Egyptian_cat,random,top,1,0.22255635261535645,7
Egyptian_cat,0.97678727,1.4359614e-06,0.97678584,True,birdhouse,random,rest,1,0.2416391372680664,7
Egyptian_cat,0.97678727,0.7691338,0.20765346,False,Egyptian_cat,random,top,1,0.22938919067382812,8
Egyptian_cat,0.97678727,2.6820833e-06,0.9767846,True,birdhouse,random,rest,1,0.2293684482574463,8
Egyptian_cat,0.97678727,0.6813457,0.29544157,False,Egyptian_cat,random,top,1,0.22739458084106445,9
Egyptian_cat,0.97678727,5.4790235e-06,0.9767818,True,birdhouse,random,rest,1,0.24441909790039062,9
Egyptian_cat,0.97678727,0.5985587,0.37822855,False,Egyptian_cat,random,top,1,0.24532556533813477,10
Egyptian_cat,0.97678727,1.29999635e-05,0.9767743,True,birdhouse,random,rest,1,0.2652437686920166,10
Egyptian_cat,0.97678727,0.538694,0.43809325,False,Egyptian_cat,random,top,1,0.22842812538146973,11
Egyptian_cat,0.97678727,1.9114344e-05,0.97676814,True,birdhouse,random,rest,1,0.2055354118347168,11
Egyptian_cat,0.97678727,0.586112,0.39067525,False,Egyptian_cat,random,top,1,0.22534799575805664,12
Egyptian_cat,0.97678727,5.5082797e-05,0.9767322,True,apron,random,rest,1,0.3085474967956543,12
Egyptian_cat,0.97678727,0.2882663,0.68852097,False,Egyptian_cat,random,top,1,0.34078216552734375,13
Egyptian_cat,0.97678727,4.1663385e-05,0.9767456,True,birdhouse,random,rest,1,0.2398838996887207,13
Egyptian_cat,0.97678727,0.22044517,0.7563421,True,Christmas_stocking,random,top,1,0.35321593284606934,14
Egyptian_cat,0.97678727,4.806252e-05,0.9767392,True,apron,random,rest,1,0.38366127014160156,14
Egyptian_cat,0.97678727,0.09824044,0.87854683,True,Siamese_cat,random,top,1,0.3166048526763916,15
Egyptian_cat,0.97678727,0.00016447024,0.9766228,True,apron,random,rest,1,0.314159631729126,15
Egyptian_cat,0.97678727,0.10016204,0.87662524,True,Siamese_cat,random,top,1,0.18753409385681152,16
Egyptian_cat,0.97678727,0.01301219,0.9637751,True,Persian_cat,random,rest,1,0.19048810005187988,16
Egyptian_cat,0.97678727,0.084872484,0.8919148,True,Siamese_cat,random,top,1,0.21342849731445312,17
Egyptian_cat,0.97678727,0.02016291,0.9566244,True,Persian_cat,random,rest,1,0.1874852180480957,17
Egyptian_cat,0.97678727,0.09005431,0.88673294,True,Siamese_cat,random,top,1,0.19148874282836914,18
Egyptian_cat,0.97678727,0.03164634,0.94514096,True,Persian_cat,random,rest,1,0.24234724044799805,18
Egyptian_cat,0.97678727,0.09844971,0.87833756,True,Siamese_cat,random,top,1,0.22744035720825195,19
Egyptian_cat,0.97678727,0.05030567,0.9264816,True,Persian_cat,random,rest,1,0.2483367919921875,19
Egyptian_cat,0.97678727,0.019020027,0.95776725,True,jigsaw_puzzle,random,top,1,0.24234962463378906,20
Egyptian_cat,0.97678727,0.12484451,0.8519428,False,Egyptian_cat,random,rest,1,0.19651007652282715,20
Siamese_cat,0.96075493,0.6903283,0.27042663,False,Siamese_cat,random,top,1,0.2184147834777832,1
Siamese_cat,0.96075493,5.3324457e-05,0.9607016,True,birdhouse,random,rest,1,0.22438526153564453,1
Siamese_cat,0.96075493,0.09268333,0.8680716,True,keeshond,random,top,1,0.20148563385009766,2
Siamese_cat,0.96075493,3.4996865e-05,0.96071994,True,birdhouse,random,rest,1,0.20046281814575195,2
Siamese_cat,0.96075493,0.013931033,0.9468239,True,keeshond,random,top,1,0.20045900344848633,3
Siamese_cat,0.96075493,1.444531e-05,0.9607405,True,birdhouse,random,rest,1,0.20249533653259277,3
Siamese_cat,0.96075493,0.023567285,0.9371877,True,keeshond,random,top,1,0.19592881202697754,4
Siamese_cat,0.96075493,1.6417874e-06,0.96075326,True,birdhouse,random,rest,1,0.19547748565673828,4
Siamese_cat,0.96075493,0.08064346,0.88011146,True,keeshond,random,top,1,0.18014025688171387,5
Siamese_cat,0.96075493,1.9561496e-06,0.96075296,True,birdhouse,random,rest,1,0.20401525497436523,5
Siamese_cat,0.96075493,0.04600715,0.9147478,True,keeshond,random,top,1,0.2124316692352295,6
Siamese_cat,0.96075493,1.46505545e-05,0.96074027,True,birdhouse,random,rest,1,0.21143150329589844,6
Siamese_cat,0.96075493,0.008811369,0.9519436,True,keeshond,random,top,1,0.18903827667236328,7
Siamese_cat,0.96075493,2.3719473e-05,0.9607312,True,birdhouse,random,rest,1,0.19551301002502441,7
Siamese_cat,0.96075493,0.018865144,0.94188976,True,keeshond,random,top,1,0.2164618968963623,8
Siamese_cat,0.96075493,9.954549e-05,0.9606554,True,apron,random,rest,1,0.19138693809509277,8
Siamese_cat,0.96075493,0.07770497,0.88304996,True,keeshond,random,top,1,0.1875622272491455,9
Siamese_cat,0.96075493,7.886504e-05,0.9606761,True,apron,random,rest,1,0.23454570770263672,9
Siamese_cat,0.96075493,0.02321716,0.9375378,True,keeshond,random,top,1,0.17490339279174805,10
Siamese_cat,0.96075493,0.00011497364,0.96063995,True,apron,random,rest,1,0.19086790084838867,10
Siamese_cat,0.96075493,0.036553334,0.9242016,True,keeshond,random,top,1,0.18354249000549316,11
Siamese_cat,0.96075493,3.5282585e-05,0.96071965,True,apron,random,rest,1,0.17758536338806152,11
Siamese_cat,0.96075493,0.023452718,0.93730223,True,keeshond,random,top,1,0.20887970924377441,12
Siamese_cat,0.96075493,2.6164427e-05,0.96072876,True,apron,random,rest,1,0.19203948974609375,12
Siamese_cat,0.96075493,0.014606925,0.946148,True,keeshond,random,top,1,0.19447898864746094,13
Siamese_cat,0.96075493,4.1398085e-05,0.9607135,True,apron,random,rest,1,0.2042243480682373,13
Siamese_cat,0.96075493,0.010997612,0.94975734,True,keeshond,random,top,1,0.1845405101776123,14
Siamese_cat,0.96075493,2.3172495e-05,0.96073174,True,apron,random,rest,1,0.18855857849121094,14
Siamese_cat,0.96075493,0.007406644,0.9533483,True,standard_poodle,random,top,1,0.2085714340209961,15
Siamese_cat,0.96075493,9.883258e-06,0.96074504,True,apron,random,rest,1,0.19359207153320312,15
Siamese_cat,0.96075493,0.0054111923,0.9553437,True,keeshond,random,top,1,0.20446419715881348,16
Siamese_cat,0.96075493,1.3358914e-05,0.9607416,True,apron,random,rest,1,0.18048644065856934,16
Siamese_cat,0.96075493,0.0033838565,0.95737106,True,keeshond,random,top,1,0.18472814559936523,17
Siamese_cat,0.96075493,1.9407536e-05,0.9607355,True,apron,random,rest,1,0.21143674850463867,17
Siamese_cat,0.96075493,0.0063642133,0.9543907,True,keeshond,random,top,1,0.18050360679626465,18
Siamese_cat,0.96075493,1.1856263e-05,0.96074307,True,apron,random,rest,1,0.18808460235595703,18
Siamese_cat,0.96075493,0.0104440935,0.9503108,True,keeshond,random,top,1,0.2257394790649414,19
Siamese_cat,0.96075493,3.2616583e-05,0.9607223,True,apron,random,rest,1,0.17947721481323242,19
Siamese_cat,0.96075493,0.012073666,0.94868124,True,keeshond,random,top,1,1.1421613693237305,20
Siamese_cat,0.96075493,4.1000865e-05,0.9607139,True,apron,random,rest,1,0.20481562614440918,20
quilt,0.97600704,0.9863919,-0.010384858,False,quilt,random,top,1,0.2004234790802002,1
quilt,0.97600704,0.0009028619,0.97510415,True,maze,random,rest,1,0.20032787322998047,1
quilt,0.97600704,0.9806464,-0.0046393275,False,quilt,random,top,1,0.17740607261657715,2
